,HS4,NAICS2
981,0303,31
982,0303,31
983,0303,31
984,0303,31
985,0303,31
986,0303,31
987,0303,31
988,0303,31
989,0303,31
990,0303,31
991,0303,31
992,0303,31
993,0303,31
994,0303,31
995,0303,31
996,0303,31
997,0303,31
998,0303,31
999,0303,31
1000,0303,31
1001,0303,31
1002,0303,31
1003,0303,31
1004,0303,31
1005,0303,31
1006,0303,31
1007,0303,31
1008,0303,31
1009,0303,31
1010,0303,31
1011,0303,31
1012,0303,31
1013,0303,31
1014,0303,31
1015,0303,31
1016,0303,31
1017,0303,31
1018,0303,31
1019,0303,31
1020,0303,31
1021,0303,31
1022,0303,31
1023,0303,31
1024,0303,31
1025,0303,31
1026,0303,31
1027,0303,31
1028,0303,31
1029,0303,31
1030,0303,31
1031,0303,31
1032,0303,31
1033,0303,31
1034,0303,31
1035,0303,31
1036,0303,31
1037,0303,31
1038,0303,31
1039,0303,31
1040,0303,31
1041,0303,31
1042,0303,31
1043,0303,31
1044,0303,31
1045,0303,31
1046,0303,31
1047,0304,31
1048,0304,31
1049,0304,31
1050,0304,31
1051,0304,31
1052,0304,31
1053,0304,31
1054,0304,31
1055,0304,31
1056,0304,31
1057,0304,31
1058,0304,31
1059,0304,31
1060,0304,31
1061,0304,31
1062,0304,31
1063,0304,31
1064,0304,31
1065,0304,31
1066,0304,31
1067,0304,31
1068,0304,31
1069,0304,31
1070,0304,31
1071,0304,31
1072,0304,31
1073,0304,31
1074,0304,31
1075,0304,31
1076,0304,31
1077,0304,31
1078,0304,31
1079,0304,31
1080,0304,31
1081,0304,31
1082,0304,31
1083,0304,31
1084,0304,31
1085,0304,31
1086,0304,31
1087,0304,31
1088,0304,31
1089,0304,31
1090,0304,31
1091,0304,31
1092,0304,31
1093,0304,31
1094,0304,31
1095,0304,31
1096,0304,31
1097,0304,31
1098,0304,31
1099,0304,31
1100,0304,31
1101,0304,31
1102,0304,31
1103,0304,31
1104,0304,31
1105,0304,31
1106,0304,31
1107,0304,31
1108,0304,31
1109,0304,31
1110,0304,31
1111,0304,31
1112,0304,31
1113,0304,31
1114,0304,31
1115,0304,31
1116,0304,31
1117,0304,31
1118,0304,31
1119,0304,31
1120,0304,31
1121,0304,31
1122,0304,31
1123,0304,31
1124,0304,31
1125,0304,31
1126,0304,31
1127,0304,31
1128,0304,31
1129,0304,31
1130,0304,31
1131,0304,31
1132,0304,31
1133,0304,31
1134,0304,31
1135,1604,31
1136,1604,31
1137,1604,31
1138,1604,31
1139,1604,31
1140,1604,31
1141,1604,31
1142,1604,31
1143,1605,31
1144,0306,31
1145,0306,31
1146,0306,31
1147,0306,31
1148,0306,31
1149,0306,31
1150,0306,31
1151,0306,31
1152,0306,31
1153,0306,31
1154,0306,31
1155,0306,31
1156,0306,31
1157,0306,31
1158,0306,31
1159,0306,31
1160,0306,31
1161,0306,31
1162,0306,31
1163,0306,31
1164,0306,31
1165,0306,31
1166,0306,31
1167,0306,31
1168,0306,31
1169,0306,31
1170,0306,31
1171,0306,31
1172,0306,31
1173,0306,31
1174,0306,31
1175,0307,31
1176,0307,31
1177,0307,31
1178,0307,31
1179,0307,31
1180,0307,31
1181,0307,31
1182,0307,31
1183,0307,31
1184,0307,31
1185,0307,31
1186,0307,31
1187,0307,31
1188,0307,31
1189,0307,31
1190,0307,31
1191,0307,31
1192,0307,31
1193,0307,31
1194,0307,31
1195,0307,31
1196,0307,31
1197,0307,31
1198,0307,31
1199,0307,31
1200,0307,31
1201,0307,31
1202,0307,31
1203,0307,31
1204,0307,31
1205,0307,31
1206,1605,31
1207,1605,31
1208,1605,31
1209,1605,31
1210,1605,31
1211,1605,31
1212,1605,31
1213,1605,31
1214,1605,31
1215,1605,31
1216,1605,31
1217,1605,31
1218,1605,31
1219,1605,31
1220,1605,31
1221,1605,31
1222,1605,31
1232,2601,21
1233,2601,21
1234,2601,21
1235,2601,21
1236,2601,21
1237,2601,21
1238,2603,21
1239,2603,21
1240,2603,21
1241,2603,21
1242,2603,21
1243,2603,21
1244,2603,21
1245,2607,21
1246,2607,21
1247,2607,21
1248,2607,21
1249,2607,21
1250,2607,21
1251,2607,21
1252,2608,21
1253,2608,21
1254,2608,21
1255,2608,21
1256,2608,21
1257,2608,21
1258,2608,21
1259,2616,21
1260,2616,21
1261,2616,21
1262,2616,21
1263,2616,21
1264,2616,21
1265,2616,21
1266,2616,21
1267,2616,21
1268,2602,21
1269,2602,21
1270,2602,21
1271,2602,21
1272,2602,21
1273,2602,21
1274,2604,21
1275,2604,21
1276,2604,21
1277,2604,21
1278,2605,21
1279,2605,21
1280,2610,21
1281,2610,21
1282,2610,21
1283,2610,21
1284,2610,21
1285,2610,21
1286,2610,21
1287,2610,21
1288,2611,21
1289,2611,21
1290,2613,21
1291,2613,21
1292,2613,21
1293,2613,21
1294,2615,21
1295,2615,21
1296,2615,21
1297,2615,21
1298,2615,21
1299,2615,21
1300,2606,21
1301,2606,21
1302,2606,21
